2026-09-08 03:09:12 | INFO     | cocacola.Fixtures            | gw1 | test_edit_profile[webkit] | ==== TEST START | tests/ui/profile/test_profile_ui.py::TestProfileUi::test_edit_profile[webkit] | layer=ui ====
2026-09-08 03:09:12 | INFO     | cocacola.Fixtures            | gw1 | test_edit_profile[webkit] | Generated test user autotest_user_20260908_030912_18d41f2d@example.com
2026-09-08 03:09:12 | INFO     | cocacola.SignupPage          | gw1 | test_edit_profile[webkit] | Navigating to http://127.0.0.1:8765/signup
2026-09-08 03:09:12 | INFO     | cocacola.CookieBanner        | gw1 | test_edit_profile[webkit] | Cookie banner displayed - accepting
2026-09-08 03:09:12 | INFO     | cocacola.SignupPage          | gw1 | test_edit_profile[webkit] | Entering first name: Caleb
2026-09-08 03:09:12 | INFO     | cocacola.SignupPage          | gw1 | test_edit_profile[webkit] | Entering last name: Frederick
2026-09-08 03:09:12 | INFO     | cocacola.SignupPage          | gw1 | test_edit_profile[webkit] | Entering email: autotest_user_20260908_030912_18d41f2d@example.com
2026-09-08 03:09:12 | INFO     | cocacola.SignupPage          | gw1 | test_edit_profile[webkit] | Entering password: *****
2026-09-08 03:09:12 | INFO     | cocacola.SignupPage          | gw1 | test_edit_profile[webkit] | Entering zip code: 46701
2026-09-08 03:09:12 | INFO     | cocacola.SignupPage          | gw1 | test_edit_profile[webkit] | Clicking Create account button
2026-09-08 03:09:12 | INFO     | cocacola.ProfilePage         | gw1 | test_edit_profile[webkit] | Clicking Edit profile button
2026-09-08 03:09:12 | INFO     | cocacola.EditProfilePage     | gw1 | test_edit_profile[webkit] | Entering first name: UpdJohn
2026-09-08 03:09:12 | INFO     | cocacola.EditProfilePage     | gw1 | test_edit_profile[webkit] | Entering zip code: 51153
2026-09-08 03:09:12 | INFO     | cocacola.EditProfilePage     | gw1 | test_edit_profile[webkit] | Clicking Save changes button
2026-09-08 03:09:13 | INFO     | cocacola.ProfilePage         | gw1 | test_edit_profile[webkit] | Screenshot saved: /home/runner/work/python_playwright_automation_practice/python_playwright_automation_practice/reports/2026-09-08/execution_03-08-49/ui/screenshots/test_profile_update_success__webkit__desktop__gw1__03-09-12-918657.png
2026-09-08 03:09:13 | INFO     | cocacola.Fixtures            | gw1 | test_edit_profile[webkit] | ==== TEST END   | test_edit_profile[webkit] | PASSED ====
