2026-09-16 03:09:21 | INFO     | cocacola.Fixtures            | gw0 | test_edit_profile[webkit] | ==== TEST START | tests/ui/profile/test_profile_ui.py::TestProfileUi::test_edit_profile[webkit] | layer=ui ====
2026-09-16 03:09:21 | INFO     | cocacola.Fixtures            | gw0 | test_edit_profile[webkit] | Generated test user autotest_user_20260916_030921_a1fefeae@example.com
2026-09-16 03:09:21 | INFO     | cocacola.SignupPage          | gw0 | test_edit_profile[webkit] | Navigating to http://127.0.0.1:8765/signup
2026-09-16 03:09:21 | INFO     | cocacola.CookieBanner        | gw0 | test_edit_profile[webkit] | Cookie banner displayed - accepting
2026-09-16 03:09:22 | INFO     | cocacola.SignupPage          | gw0 | test_edit_profile[webkit] | Entering first name: Robert
2026-09-16 03:09:22 | INFO     | cocacola.SignupPage          | gw0 | test_edit_profile[webkit] | Entering last name: Castillo
2026-09-16 03:09:22 | INFO     | cocacola.SignupPage          | gw0 | test_edit_profile[webkit] | Entering email: autotest_user_20260916_030921_a1fefeae@example.com
2026-09-16 03:09:22 | INFO     | cocacola.SignupPage          | gw0 | test_edit_profile[webkit] | Entering password: *****
2026-09-16 03:09:22 | INFO     | cocacola.SignupPage          | gw0 | test_edit_profile[webkit] | Entering zip code: 67042
2026-09-16 03:09:22 | INFO     | cocacola.SignupPage          | gw0 | test_edit_profile[webkit] | Clicking Create account button
2026-09-16 03:09:22 | INFO     | cocacola.ProfilePage         | gw0 | test_edit_profile[webkit] | Clicking Edit profile button
2026-09-16 03:09:22 | INFO     | cocacola.EditProfilePage     | gw0 | test_edit_profile[webkit] | Entering first name: UpdNicole
2026-09-16 03:09:22 | INFO     | cocacola.EditProfilePage     | gw0 | test_edit_profile[webkit] | Entering zip code: 20664
2026-09-16 03:09:22 | INFO     | cocacola.EditProfilePage     | gw0 | test_edit_profile[webkit] | Clicking Save changes button
2026-09-16 03:09:22 | INFO     | cocacola.ProfilePage         | gw0 | test_edit_profile[webkit] | Screenshot saved: /home/runner/work/python_playwright_automation_practice/python_playwright_automation_practice/reports/2026-09-16/execution_03-08-57/ui/screenshots/test_profile_update_success__webkit__desktop__gw0__03-09-22-424770.png
2026-09-16 03:09:22 | INFO     | cocacola.Fixtures            | gw0 | test_edit_profile[webkit] | ==== TEST END   | test_edit_profile[webkit] | PASSED ====
